Time,Nome,Usuario,Texto,Data,topicos,Stop words
Grêmio,Anao Hormonado,@AnaoHormonado_,pelo visto ancelotti não está vendo amuzu grêmio,2026-03-26 19:02:33,,"o, no"
Santos,#Pelé o maior de todos,@fcharmiaski,"problema selecao mesma santos, vc acha banco solucao, aí quando banco começa jogando tirica kkkkk",2026-03-26 19:02:33,,"da, é, a, do, que, o, é, o, é, uma"
Santos,ゆうた,@soninhalanches,douglas santos eh fraquíssimo léo pereira nunca mais vistam camisa seleção,2026-03-26 19:02:33,,"esse, que, ele, e, a, da"
Grêmio,Olga,@ElisaScott48199,quem sabe sugere outra cor não seja grêmio então?,2026-03-26 19:02:33,,"que, do"
Santos,AstroRc22,@AstroRc22,pontos à serem considerados pro brasil : -luiz henrique insano -léo pereira (incógnita) -vini jr (incógnita dentro campo mas necessário) -douglas santos horroroso fora urgente -andrey santos overrated -endrick > joão pedro -bremer garantiu vaga dele,2026-03-26 19:02:33,,"de, a"
Flamengo,Adriano,@sradrianoz,"não comprem gente, são amigas chapel aquela mulher matou criança filha flamengo",2026-03-26 19:02:33,,"elas, da, que, uma, do"
Flamengo,lari,@laaricrf_,"luiz henrique depois copa vai valorizar ainda mais passe dele kkk nem fodendo palmeiras flamengo vao conseguir competir ele, certeza vai pra gigante europeu.",2026-03-26 19:02:33,,"da, o, que, e, por, que, um"
Santos,Letras Minúsculas DJ,@Jota1D,"douglas santos muito fraco, não nível seleção.",2026-03-26 19:01:33,,"é, tem, de"
Santos,Gustavo◤✠◢,@Gustavoschoen,"cara jogador santos. olha ritmo jogo, surreal!",2026-03-26 19:01:33,,"o, no, o, do"
Internacional,Faculdade de Direito da USP,@de_usp,"ampliando representatividade fdusp cenário internacional, professor otavio pinto silva, departamento direito trabalho, está xx encontro jutra ""o trabalho seu direito: modernização ou mutação?"", ocorre até sábado (28/03), cidade faro, portugal.",2026-03-26 19:01:33,,"a, da, no, o, e, de, do, no, e, o, que, na, de"
Santos,Central do Maguire | Fan Account,@CentralMaguire,"douglas santos tão nota 6 chega irritar, não ruim, mas está longe bom, não cruzamento ou presença área, não absurdo defensor, simplesmente mediano dms, assustador ter cara desse como titular seleção",2026-03-26 19:01:33,,"o, é, que, a, ele, é, de, ser, tem, na, é, um, um, da"
Vasco,Pires,@crvg_pires,pararam meu vasco ?,2026-03-26 19:01:33,,"para, isso"
Santos,@quendaprop,·,este brasil craque alisson santos nunca será nada,2026-03-26 19:05:33,,"sem, o"
Santos,Alexsander Silva,@Alexsandercrvg,douglas santos todo quadrado fazer arraste. estou me acostumando assistir cuiabano. até me assustei falta ginga arrastar bola pela esquerda.,2026-03-26 19:01:33,,"o, para, um, a, o, com, a, de, para, uma"
Corinthians,Dr Felipe De Lima Ferreira,@FelipeAndreol12,"time lixo, neymar parece meu corinthians, nem 1 mais faz gol",2026-03-26 19:01:33,,"sem, com, a"
Flamengo,ᶜʳᶠ●𝓔𝓵𝓪𝓲𝓷𝓮 ●¹⁸⁹⁵,@NANNY_CRF1895,"""convocômetro"" cravou léo pereira. nação não decepciona nunca.",2026-03-26 19:01:33,"FLAMENGO, BRAXFRA","o, a"
Santos,Henrique Dutra,@henriquedutra01,douglas santos não melhor enzo diaz,2026-03-26 19:01:33,,"é, que, o"
Flamengo,KauaDuGrau,@KauaDuGrau018,juíz flamengo ???? falta pros gente boa não dá nunk,2026-03-26 19:01:33,,"é, o, do"
Santos,reis,@crf_reix,"andrey santos jogando pra caralho, nossa, destruindo!",2026-03-26 19:01:33,,"tá, tá"
Vasco,chute a gol,@chuteagol,"gente viu jogos dele pelo santos. contra vasco tomou 6 0. paulista conseguiu jogar só 2 jogos eliminado pelo novorizontino. brasileiro beira z4. mas ia arrebentar contra frança sim, confia.",2026-03-26 19:01:33,,"a, nos, o, de, a, no, e, foi, no, tá, na, do, a"
Vasco,The BAD VASCAÍNO,@denysvasco,agora partir revenda saf vamos saber quanto milhões ou bilhões vasco vai arrecadar postagem esdrúxula cabimento invejosa mas verdade tremem,2026-03-26 19:01:33,,"a, da, da, o, sem, e, a, é, que, eles"
Internacional,anittavﾒ𝟶,@anittavx_,"“anitta não carreira internacional” hoje confirmada snl, santo diva babado, né?",2026-03-26 19:01:33,,"tem, no, o, da, é"
Corinthians,dana,@gukqing,parece to vendo corinthians jogar nao elogio,2026-03-26 19:01:33,,"que, o, e, isso, é, um"
Internacional,el muchacho de los ojos tristes,@justiury,quando os cara apanha aí existe direito internacional kkkkkkkkkkkkkkkkkkkkkkk,2026-03-26 19:01:33,,
Flamengo,ela escreve tudo,@elaescrevetudo,avisa pro técnico dispensar esses jogadores chamar todo time pra copa! único time q pode ganhar alguma coisa!,2026-03-26 19:01:33,BRAxFRA,"e, do, essa, o"
São Paulo,Claudia Raposo,@clauclamera,"feliz aniversário presidente , opsss governador são paulo. muitas coisas boas sua vida, entre elas, muita paz, felicidade, sucesso saúde.",2026-03-26 19:01:33,,"de, na, e"
Flamengo,enhypen is 7,@kagayamar,preciso luis henrique ex botafogo flamengo 2026,2026-03-26 19:01:33,,"do, no, em"
Santos,N3RØ,@neroggwp,galera q pede neymar seleção não deve ter visto os últimos jogos desse cara santos ne,2026-03-26 19:01:33,,"essa, na, no"
Corinthians,Lucas,@notliewie,corinthians ia ter 2 jogadores elenco,2026-03-26 19:01:33,,no
Flamengo,Ficar puto com atleta Marcão é pior,@imperadorMendig,flamengo q pagou 43 paquetá horroroso poderia ter comprado luiz henrique kkkkkkkkk,2026-03-26 19:01:33,,"e, o, no, e, o"
Flamengo,Cigarro de artista,@tiagoluizcr,raphinha vini jr pela seleção dupla diego diogo pelo flamengo 2010,2026-03-26 19:01:33,,"e, é, a, e"
Santos,Bruno,@Bruno_HFRF_,luís henrique danilo bremer andrey santos douglas santos ibanez igor thiago fez falta bruno guimarães marquinhos,2026-03-26 19:01:33,,"o, e"
Palmeiras,SEPgimenez,@Gimenezzz12,mais partida horrível palmeiras khelvven murilo precisam encontrar outro emprego urgentemente,2026-03-26 19:01:33,,"uma, do, e"
Corinthians,Great Chimba,@chimbaaaz,pior tomou gol mais defensáveis hugo hate menor. não sei pq hugo negro ou pq joga corinthians,2026-03-26 19:01:33,,"que, ele, que, o, e, o, é, se, o, é, no"
Palmeiras,Dz Rodrigues,@dzrodrigues,brasil está frança assim como spfc esta virou 'freguezasso',2026-03-26 19:01:33,,"o, para, a, o, para, o"
Flamengo,TETRACAMPEÃO DA LIBERTADORES,@EmersonJun69111,"jogo seleção sempre mesma coisa. jogador erra bisonhamente, algum jogador flamengo próximo lance culpa vai cair nele",2026-03-26 19:01:33,,"da, é, a, tem, do, do, a"
Flamengo,.,@flamenvan,tentei entrar 3 links flamengo nenhum existe.,2026-03-26 19:01:33,,"nos, do, e"
Internacional,Silvanei Vanvan,@SilvaneiVanvan,direito internacional só lembram quando precisam dele.,2026-03-26 19:01:33,,
Vasco,Shuya ⓟ,@br_shuya,situações só acontecem vasco,2026-03-26 19:01:33,,"que, no"
Atlético Mineiro,Tiago,@tiagoatehoje,atlético estão falando seu nome aqui.,2026-03-26 19:01:33,,
Vasco,Brn,@brun4zxl,"cara leva 6 vasco, não ganha novorizontino mas vai acompanhar francês correndo jeito tão aquele joelho farelo mata qualquer",2026-03-26 19:01:33,,"o, do, do, do, que, com, de, um"
Cruzeiro,Velho Pingão - O chefe do Samucudo,@MatheusChiclet,plata indisciplinado está precisando mesmo perfil linha dura como velho pinguço dono cruzeiro,2026-03-26 19:01:33,,"de, um, é, o, do, que, é, o, do"
Botafogo,luanzin,@euluanzin7,"lh fazendo campo nem me assusta, já tô acostumado ver fazer botafogo",2026-03-26 19:01:33,,"isso, que, o, tá, em, a, ele, isso, no"
Vasco,Safrado,@peh_o,"fora teve ajuda arbitragem primeiros minutos vasco, fora gol lá bola saiu toda",2026-03-26 19:01:33,,"que, da, nos, o, o, que, a"
Flamengo,Bigode Grosso,@souldevorer,"sanha repentina bi-rebaixados colocarem como bixos papões américa junto flamengo. não ganham nada dois anos! clube investe mal, técnico desgastado. voltem ganhar, porque daqui pouco quem estará vivendo passado serão",2026-03-26 19:01:33,,"e, essa, dos, se, da, com, o, a, tem, um, a, a, de"
Grêmio,dezordi,@DezordiTrapala,jogar mais só vantagem quando outro time jogando contra grêmio,2026-03-26 19:01:33,,"com, um, a, é, é, o, o"
Vasco,DaRua,@MtsjrCRF,"desisti ver porra jogo, impossível mané parece to vendo jogo vasco",2026-03-26 19:01:33,,"de, a, do, que, eu, um, do"
Santos,L1,@LeandrHqe,não possível brasil não tenha lateral melhor douglas santos,2026-03-26 19:01:33,,"é, que, no, um, que, esse"
Santos,ele mermo,@ele_mermo11x,"pelo amor deus, neymar santos não parâmetro pra nada, absolutamente nada. vejo vini raphinha 2 anos nessa seleção jogar nada, mas neymar não pode? não existe",2026-03-26 19:01:33,,"de, no, é, eu, o, e, a, sem, o"
