Time,Nome,Usuario,Tempo,Texto
Vasco,Sandro Lobato,@lobato76310,2 min,"Kkkkkkkk pqp! Junta Leila, Palmeiras, Vasco, Pedrinho, vc...entra tudo um no cool do outro, vira um megazorde e entra para se fouder! Dois rebaixados!"
Santos,you,@you4609,2 min,Tá mais pro santos kakakakaka
Cruzeiro,Kelwen Cristyan,@cristyan_kelwen,3 min,Alguns dos sertanejos que torcem para o Cruzeiro
Santos,nati,@renatavalentee,3 min,vinicius jr na seleção parece o jr santos piorado
São Paulo,Bru,@bruunogouvea,3 min,Não acredito que vai ter uma festa da Lady Gaga no Rio de Janeiro enquanto eu vou estar em São Paulo 
Internacional,ᓚᘏᗢ𝐋𝐮𝐦𝐞𝐲,@lumeymatoi,3 min,Tirando o Silvinho não tem nenhum técnico brasileiro bom a nivel  internacional
Flamengo,Índio,@IndioGoytacaz,3 min,"Bruno, o Flamengo é sócio do BRB, não tem nenhuma relação promíscua ou ilegal. Ademais o banco é pessoa jurídica, ele não tem responsabilidade pessoal. A relação do Flamengo com o BRB é completamente lícita!!!"
Vasco,zicoʳᶦⁿᵗʰᶦᵃⁿˢ,@nayeonlindinha,3 min,vasco e novorizontino dá mais trabalho que girona e granada.
Palmeiras,Palmeiras Arquivo ⓟ 𓃟,@palmeirasarquiv,3 min," 26/03/1995
 Palmeiras 3x0 Juventus 
 Campeonato Paulista
 Pacaembu
 Válber (3x)

#AvantiPalestra #Palmeiras"
Santos,𝑮𝒖𝒔𝒕𝒂𝒗𝒐𝑾𝒂𝒔𝑻𝒂𝒌𝒆𝒏,@GustavoWasTake,3 min,"Reservas:

Ederson
Bento
Vanderson
Bremer
Gabriel Magalhães
Alex Sandro
Douglas Luiz
Andrey Santos
Raphael Veiga
Gabriel Sara
Endrick
Gabriel Martinelli
Rayan
João Pedro
Luiz Henrique"
Vasco,Vitor ✠,@Vitorromeu24,3 min,Se fosse o Vasco de Renato Gaúcho com certeza teriam virado em cima da França
Flamengo,Meursault,@EngHaw97,3 min,"É papo de banco no próximo jogo. Tá lembrando o início do Léo Pereira no Flamengo, não tinha condições de estar em campo, não acerta nada"
Cruzeiro,Henrique,@Henrique_HnR_,3 min,"É oficial. Vinícius Junior está pra seleção assim como Wanderson está pro Cruzeiro. E estou sendo generoso com o titular do Real Madrid

Que jogador tenebroso"
Flamengo,D.,@demownia,3 min,infelizmente o luiz henrique odeia o flamengo mais q qualquer coisa no mundo
Vasco,jesqui,@itsjescao,3 min,o vasco de renato gaúcho dá nesse time viu
Flamengo,jurídico do leonardo jardim ᶜʳᶠ,@ilebeatrizcrf95,3 min,"pode acabar data fifa, SÓ O ESTRESSE COM O FLAMENGO É O SUFICIENTE"
Botafogo,Igor,@Pai85535364Igor,3 min,Textor fudeu tanto com as finanças do Botafogo que veremos LH indo para os desgraçados. Pqp!!!
Flamengo,jvzin008,@Jottave0444,3 min,"A vontade é tanta de falar e citar jogadores do Flamengo pra engajar que nem percebeu que o Paquetá não está...

Fala do bagre do João Pedro, mas ele é cria do fluminense né? Ai não pode"
Corinthians,Andrus Zanforlim,@AndrusZanforlim,3 min,Se ele jogasse no Corinthians já teria sido massacrado faz tempo.
Santos,João Pedro,@pedronCZ,3 min,"Dupla de zaga: achei muito inseguros, sem entrosamento e pouca criatividade pra saída de bola, 1 gol pelo lado de cada um que não chegou a tempo.
Douglas Santos: diferente dos últimos jogo hoje foi mal, posição complicada para a copa"
Santos,Helio Boy Junior,@BoyJunior10123,3 min,E Douglas Santos na lateral esquerda? Dá dó.
Santos,✠ﮩ٨ــ,@Gbfxp12,3 min,Mais útil que o Douglas Santos
Flamengo,mt,@mt_pinheiro87,3 min,"Eu quero o Luiz Henrique no Flamengo no meio do ano, BAP e José boto faça o pix pros russos"
Santos,igo99,@mn_assol4n,3 min,"Neymar não ajuda o santos contra o lanterna, magine  contra a França"
